time,obs_x,obs_y,filt_x,filt_y
97,1416.2506103515625,1516.02587890625,1416.250468726517,1516.0257273036789
100,1414.5780029296875,1517.6744384765625,1415.3744152520376,1516.8893378804428
101,1411.97802734375,1519.4410400390625,1414.0696445600506,1517.8696105351423
102,1410.5863037109375,1519.355224609375,1412.9333087227344,1518.3542477228589
105,1412.4210205078125,1516.6751708984375,1412.7802134620329,1517.8524624061465
106,1412.982177734375,1516.288818359375,1412.8377985254601,1517.4066283951754
108,1413.2899169921875,1516.146484375,1412.9635071257267,1517.0562535430772
109,1411.1529541015625,1516.9659423828125,1412.4668117744266,1517.031478166231
110,1409.43310546875,1517.5609130859375,1411.6405073124215,1517.1756827768343
111,1407.94091796875,1517.59912109375,1410.6366756826671,1517.2905768194655
112,1406.515869140625,1517.684326171875,1409.5208268310305,1517.397197879745
113,1407.6676025390625,1518.55712890625,1409.0195472434136,1517.7109482170088
114,1405.6300048828125,1518.7431640625,1408.1032378828809,1517.9899915038866
115,1408.4296875,1521.95703125,1408.191461228327,1519.0620880834692
116,1402.1177978515625,1528.6744384765625,1406.5503165954954,1521.6594097125987
117,1399.4371337890625,1538.055908203125,1404.6284547228543,1526.0894667139821
118,1399.582763671875,1534.832763671875,1403.2652576420605,1528.4516479829283
119,1400.3909912109375,1536.131103515625,1402.4887347729143,1530.5263592132999
120,1398.9107666015625,1538.7568359375,1401.5221098987288,1532.749907089359
121,1399.1982421875,1531.500244140625,1400.894297568268,1532.4123001746693
122,1397.1470947265625,1525.5574951171875,1399.8819631207257,1530.5604240996292
123,1394.537841796875,1531.787353515625,1398.4382122642294,1530.8918874568137
124,1396.246337890625,1525.52685546875,1397.8460630691206,1529.4424889822833
125,1397.6124267578125,1524.377197265625,1397.782944727567,1528.0740680769402
126,1396.903564453125,1525.4429931640625,1397.5453746021587,1527.3632666009719
127,1397.8121337890625,1529.6605224609375,1397.6174412667713,1527.983884655447
128,1394.9444580078125,1523.5584716796875,1396.8953181646973,1526.7883317333312
129,1388.5572509765625,1520.874267578125,1394.64273740178,1525.1906104813804
130,1386.666259765625,1518.147705078125,1392.4878423598775,1523.2879257844068
131,1384.3153076171875,1519.002197265625,1390.2799812998535,1522.1301095855933
132,1384.0904541015625,1517.378173828125,1388.6078420655556,1520.846344612217
133,1383.1795654296875,1518.19921875,1387.1413594064838,1520.1312071139416
134,1383.4249267578125,1512.5970458984375,1386.1373420382056,1518.0958066557955
135,1386.3216552734375,1514.8074951171875,1386.1871354036928,1517.2074488660169
136,1386.1651611328125,1515.8529052734375,1386.1811989179093,1516.8415104999992
137,1382.954833984375,1514.1231689453125,1385.3095763890567,1516.1071336427644
138,1376.8670654296875,1510.8944091796875,1383.0287796091795,1514.6988837480362
139,1376.427978515625,1511.1815185546875,1381.2455321902562,1513.7486456915412
140,1376.9664306640625,1512.5787353515625,1380.0895063316666,1513.432587145847
141,1382.3629150390625,1509.6241455078125,1380.7036818161093,1512.4037129797534
142,1388.6492919921875,1508.1845703125,1382.8502377623183,1511.2638853794058
143,1384.3907470703125,1505.9864501953125,1383.2664159213223,1509.838153481662
144,1378.174072265625,1506.3197021484375,1381.890687649745,1508.8876219978195
145,1376.101318359375,1504.79638671875,1380.326653573129,1507.782349372948
146,1375.211669921875,1505.97900390625,1378.9448089661194,1507.2951643929684
147,1378.4935302734375,1506.3172607421875,1378.822893224006,1507.0309776470979
150,1376.7740478515625,1506.9202880859375,1378.269384919476,1507.0010741745612
152,1370.961669921875,1505.7152099609375,1376.2951603182862,1506.6536899696273
153,1368.4923095703125,1501.969970703125,1374.1871717184135,1505.3883541151188
161,1361.572265625,1498.7098388671875,1370.7791764751003,1503.5841117348107
162,1354.849853515625,1498.9925537109375,1366.4757709266883,1502.3436738124922
181,1340.5986328125,1490.4752197265625,1359.4849013196797,1499.1373372158648
184,1335.2059326171875,1487.73681640625,1352.9257871068642,1496.0574157005753
185,1334.988037109375,1487.2772216796875,1348.0797925180418,1493.6853917443943
186,1329.907958984375,1487.6070556640625,1343.1705588078244,1492.0432914944492
189,1327.060546875,1486.3304443359375,1338.8183390108456,1490.499930347104
190,1324.6494140625,1483.1591796875,1334.990515920507,1488.5167809566112
192,1325.1961669921875,1483.631103515625,1332.3445117162833,1487.1968848467277
193,1320.9349365234375,1484.885498046875,1329.2621441031195,1486.5724493447094
194,1320.2664794921875,1483.073974609375,1326.8319094285623,1485.6273146628828
195,1319.7220458984375,1481.129150390625,1324.9111356303395,1484.4121076427132
196,1316.58740234375,1480.0020751953125,1322.6624273770046,1483.2207099824923
197,1315.1524658203125,1483.1500244140625,1320.633564611547,1483.2016138370914
198,1314.1563720703125,1482.0435791015625,1318.8837108110438,1482.888763559725
199,1314.3489990234375,1483.1187744140625,1317.6586302525743,1482.950902420822
200,1312.591552734375,1484.4986572265625,1316.2897277849977,1483.3690379960472
201,1311.7845458984375,1478.7379150390625,1315.072624912732,1482.1179113612764
202,1308.2691650390625,1474.669189453125,1313.2346279656406,1480.105592867285
203,1303.749755859375,1475.6015625,1310.672230847325,1478.8888010851044
204,1303.919677734375,1473.9039306640625,1308.8479866778682,1477.5421073754846
205,1302.6207275390625,1475.81103515625,1307.1656539385854,1477.07444746226
206,1298.13525390625,1474.4619140625,1304.7260352741641,1476.3686553355926
207,1302.822265625,1465.05224609375,1304.2117200774696,1473.3114570828272
208,1299.6302490234375,1464.486572265625,1302.9740072127126,1470.9273596304083
209,1294.9661865234375,1463.24365234375,1300.8106447099508,1468.8515583767141
210,1295.7353515625,1469.809326171875,1299.4395227390974,1469.1103052961075
211,1292.098388671875,1464.917724609375,1297.4562697686547,1467.9776535798137
212,1287.8291015625,1461.9205322265625,1294.855430475029,1466.3412846201725
213,1288.7166748046875,1464.1199951171875,1293.1970074975238,1465.741189462576
214,1284.978515625,1464.67529296875,1290.976730865945,1465.4532309035567
215,1286.841552734375,1467.880859375,1289.8595868065056,1466.1090698152336
216,1282.2353515625,1460.22412109375,1287.7998522945668,1464.5192143615786
217,1281.4771728515625,1459.3040771484375,1286.091741167366,1463.1103126476855
218,1280.1317138671875,1459.5196533203125,1284.4816027692982,1462.1402737256808
219,1274.7847900390625,1460.2010498046875,1281.861948574869,1461.6163803372144
220,1276.361328125,1456.9853515625,1280.3759217911888,1460.365279146369
221,1275.610595703125,1457.50390625,1279.0885393469043,1459.5922614839337
222,1271.3779296875,1457.8931884765625,1277.0054702500988,1459.1332463565689
223,1269.9649658203125,1452.0252685546875,1275.1034342436822,1457.2129819995448
224,1268.6993408203125,1451.0625,1273.3733286239526,1455.5513910813631
225,1266.400634765625,1450.3055419921875,1271.489612064646,1454.134192363381
226,1260.592529296875,1450.163818359375,1268.5456974636534,1453.0615711627452
227,1262.7996826171875,1448.388427734375,1266.9933758593738,1451.7990924366038
228,1258.65576171875,1445.88427734375,1264.7409176070955,1450.2011683971973
229,1255.1119384765625,1447.8095703125,1262.1395890809997,1449.5550633183161
230,1251.601806640625,1449.443603515625,1259.2927416953805,1449.5249517602451
231,1249.913330078125,1455.550048828125,1256.758835383278,1451.1526691602626
232,1248.5921630859375,1455.555908203125,1254.5525581318313,1452.3422315400476
233,1245.8233642578125,1450.0277099609375,1252.1943121821332,1451.71694915794
234,1240.765869140625,1449.5394287109375,1249.1068473024486,1451.1286784827048
235,1242.10009765625,1447.40966796875,1247.2139303604986,1450.1239646903439
236,1233.8717041015625,1448.4302978515625,1243.60944505645,1449.666410073006
237,1233.1614990234375,1445.3602294921875,1240.786867534332,1448.503068639657
238,1230.5994873046875,1444.2615966796875,1238.0346834825953,1447.3572086421918
239,1227.837158203125,1435.4219970703125,1235.2797586826282,1444.1328370960464
240,1226.694580078125,1436.84033203125,1232.960419352594,1442.1627215526862
241,1223.481201171875,1439.230712890625,1230.3995496773862,1441.370621199369
242,1221.338134765625,1441.9696044921875,1227.9515521506275,1441.5324402567312
243,1218.26806640625,1440.005126953125,1225.3354983242134,1441.1198270802877
244,1217.9403076171875,1426.0301513671875,1223.3376416167348,1437.043257451265
245,1215.9903564453125,1428.0587158203125,1221.3527268872826,1434.6160277188437
246,1215.440673828125,1438.677001953125,1219.7555490284365,1435.7131251344856
247,1215.1741943359375,1419.00830078125,1218.5178675994705,1431.2002130672342
248,1213.42529296875,1419.5289306640625,1217.1420769285614,1428.0471436255093
249,1209.3265380859375,1429.717529296875,1215.0306605611024,1428.49840869085
250,1206.08203125,1408.123046875,1212.6131327649714,1422.993878127166
251,1203.377685546875,1397.6903076171875,1210.11811932959,1416.1579613713632
252,1195.3729248046875,1400.5126953125,1206.134613433432,1411.9312955591768
253,1191.0616455078125,1399.439697265625,1202.0625575169838,1408.5566126839685
254,1188.4539794921875,1391.7249755859375,1198.3861156288451,1404.0094413659663
255,1186.098388671875,1392.732177734375,1195.066509861637,1400.9628185429776
256,1187.7965087890625,1388.3233642578125,1193.1024739115676,1397.5481914531726
257,1180.7550048828125,1382.561767578125,1189.7667284525567,1393.499515949587
258,1180.865234375,1388.6236572265625,1187.361934532566,1392.1822724273534
259,1176.9984130859375,1389.3641357421875,1184.5621648368942,1391.4209352959524
261,1172.4609375,1381.3077392578125,1181.2929431005614,1388.6887925643732
264,1162.2261962890625,1382.3900146484375,1176.1419430092512,1386.9871385831832
265,1156.5947265625,1378.2762451171875,1170.8611410613619,1384.6338366023924
266,1155.9482421875,1377.6907958984375,1166.8323287935746,1382.7581310269413
267,1153.754150390625,1379.5546875,1163.2991776580523,1381.8927008587582
268,1149.5068359375,1378.7310791015625,1159.5730908659887,1381.0385691014633
269,1144.423583984375,1376.2666015625,1155.4803574751286,1379.7493924279624
270,1136.9622802734375,1374.42333984375,1150.477583887173,1378.3105262375825
271,1135.4677734375,1372.9302978515625,1146.422590355178,1376.857024117811
272,1133.9407958984375,1373.927978515625,1143.0505560473846,1376.065724253525
273,1130.7933349609375,1368.9476318359375,1139.739191630597,1374.1427273702375
274,1129.2598876953125,1364.9818115234375,1136.9081425763889,1371.6678490477912
275,1128.4332275390625,1360.8138427734375,1134.6185916339707,1368.7355718290808
276,1124.6456298828125,1359.165283203125,1131.9243340661371,1366.1500989073743
277,1122.198486328125,1355.46533203125,1129.2968358839953,1363.2635427633888
278,1114.7169189453125,1357.3524169921875,1125.3579807544374,1361.6666154171442
279,1110.4688720703125,1359.0927734375,1121.335595554189,1360.9712760179673
280,1110.986328125,1354.6131591796875,1118.5396766698727,1359.2535912583003
281,1103.812255859375,1350.1861572265625,1114.560972453069,1356.80396762889
282,1099.97509765625,1353.2008056640625,1110.6205077711263,1355.8305510417122
283,1096.9993896484375,1353.46728515625,1106.9406780976444,1355.1921000824502
284,1092.084716796875,1345.849853515625,1102.9272478689168,1352.6682341395858
285,1086.7886962890625,1345.5086669921875,1098.5673179090081,1350.7340326004041
286,1084.008544921875,1345.4783935546875,1094.6341749493051,1349.3141890648487
287,1077.40869140625,1344.294189453125,1089.980603567656,1347.9580049861484
288,1080.0186767578125,1340.0599365234375,1087.2893271577661,1345.8242927291594
289,1070.68505859375,1340.4818115234375,1082.803580861612,1344.3809882446262
290,1062.6629638671875,1327.6341552734375,1077.3624680696407,1339.8567272882829
291,1056.341796875,1334.19482421875,1071.6836031686973,1338.3271290030334
292,1049.093505859375,1331.152587890625,1065.580748053799,1336.3888821541877
293,1046.59912109375,1332.10546875,1060.4527436191115,1335.2316914150322
294,1046.3876953125,1329.0751953125,1056.6529834488058,1333.5684757495696
295,1045.7454833984375,1325.697509765625,1053.7062545542085,1331.4420853955767
296,1036.0968017578125,1324.2041015625,1048.9489514936017,1329.4866991016445
297,1030.806640625,1318.6385498046875,1044.0476935147426,1326.5560041817605
298,1028.852783203125,1319.0914306640625,1039.9426941052266,1324.5394032769818
299,1027.8291015625,1311.3812255859375,1036.670131831727,1320.9846398368354
300,1021.7991943359376,1313.3087158203125,1032.6526556908846,1318.910941281917
301,1016.7555541992188,1310.15087890625,1028.3579549721571,1316.5443560147476
302,1014.2310791015624,1308.6566162109375,1024.5414917013763,1314.413434109121
303,1010.306396484375,1301.947265625,1020.6957923019191,1311.0456212548972
304,1007.7445678710938,1303.7952880859375,1017.1969385705879,1309.0868987111637
305,1004.8806762695312,1298.7806396484375,1013.869623802917,1306.3025988042098
306,992.9940185546876,1297.9273681640625,1008.2299493685275,1304.0399782209163
307,987.1695556640624,1296.2259521484375,1002.5403531848038,1301.9289705377091
308,975.7503662109376,1292.6209716796875,995.3028717878535,1299.4143568261204
309,977.9254760742188,1290.73095703125,990.6082603896634,1297.0684824313712
310,975.6181640625,1288.447998046875,986.5585927503259,1294.739605025557
311,971.0096435546876,1286.01123046875,982.3579475370477,1292.3815804194933
312,953.8469848632812,1288.50244140625,974.6555338642892,1291.333606918352
313,945.290771484375,1285.705810546875,966.7224608972207,1289.8132227694487
314,945.2105712890624,1281.1256103515625,960.9108902904796,1287.4662103084236
315,935.0731811523438,1281.8060302734375,953.9306726662795,1285.9370775116602
316,930.3555908203124,1273.5908203125,947.5617178602091,1282.601659435942
317,925.2222290039062,1271.1932373046875,941.5265661756416,1279.5196033295297
318,923.7354736328124,1267.8087158203125,936.7201920092131,1276.3558343223847
319,923.731201171875,1266.47900390625,933.2111354485623,1273.6875472318632
320,910.6683349609376,1258.5042724609375,927.1210578638475,1269.5856912359436
321,896.5,1261.782958984375,918.8485888678481,1267.4777346486112
322,891.2716064453125,1259.180419921875,911.398495761725,1265.2361635333293
323,889.0977172851562,1250.10498046875,905.3738019267065,1261.1483804354662
324,878.2164916992188,1246.05078125,898.0370858710254,1257.0696702311643
325,874.634765625,1243.6480712890625,891.7148036843521,1253.4437419037056
326,864.1206665039062,1241.6148681640625,884.2600761138164,1250.2480981834956
327,856.915283203125,1242.725830078125,876.8727104466494,1248.2159107274658
328,858.2667846679688,1227.7955322265625,871.8462040199161,1242.6992186266766
329,840.0391845703125,1233.3779296875,863.2533401344836,1240.1810145171075
330,829.5289306640625,1228.7098388671875,854.1424814243464,1237.082005157811
331,833.763427734375,1227.6156005859375,848.636953477935,1234.5245971586291
332,824.0169067382812,1221.0301513671875,841.9856949146473,1230.8789888023061
333,803.3056640625,1217.0299072265625,831.5360443045529,1227.137573385902
334,808.311279296875,1208.1466064453125,825.2617297684695,1222.0070456974527
335,792.706787109375,1209.646728515625,816.46680978199,1218.667829230078
336,777.92724609375,1205.8729248046875,806.0551072487892,1215.2112063192549
337,785.765625,1207.70654296875,800.5737775836194,1213.1837748971104
338,768.6699829101562,1203.263427734375,791.9547692703059,1210.5037314871743
339,746.1557006835938,1196.709716796875,779.5818663936702,1206.7771927319413
340,740.0360717773438,1193.0335693359375,768.8983243246695,1203.0642674978865
341,735.5553588867188,1190.9781494140625,759.8905150893856,1199.7991276201271
342,737.3568725585938,1185.10107421875,753.8029115835972,1195.828357191324
343,715.4254760742188,1185.771728515625,743.4350089850352,1193.1114964840974
344,698.0452270507812,1181.3228759765625,731.1726774399973,1189.9267274245894
345,698.164794921875,1174.0379638671875,722.2553929369972,1185.6342792505975
346,688.8486328125,1171.4810791015625,713.2303491708584,1181.810704312473
347,664.6008911132812,1167.5205078125,700.0927989966524,1177.950118959139
348,651.7276611328125,1162.566650390625,687.0266565647077,1173.7941793652228
349,636.4683837890625,1157.8311767578125,673.3680251128661,1169.4816750507077
350,638.762939453125,1153.0081787109375,664.0192462595368,1165.0312576832741
351,606.8121948242188,1147.661865234375,648.5644059514251,1160.3388084167677
352,614.73486328125,1142.416748046875,639.4251448543005,1155.4970524783025
353,585.4700927734375,1135.7281494140625,624.8488523727973,1150.1563605136098
354,565.6842041015625,1131.7666015625,608.8651551191224,1145.1882528981453
355,561.6013793945312,1125.7557373046875,596.096552510616,1139.9384380982801
356,537.6428833007812,1120.3905029296875,580.3049306668889,1134.6574419832207
357,530.6259765625,1114.5050048828125,566.8838526163021,1129.2131359161929
358,510.554443359375,1103.57958984375,551.6661127944832,1122.2880742124246
359,513.8543701171875,1099.22900390625,541.4510356285197,1116.0585231292266
360,494.8692932128906,1094.39794921875,528.8666885551327,1110.2067845346064
361,462.81695556640625,1086.211669921875,511.02294289576486,1103.724355267405
362,442.0324401855469,1080.8851318359375,492.38473002845205,1097.5541971830696
363,423.6869201660156,1076.7747802734375,473.8255899521379,1091.9405086258619
364,418.80029296875,1070.4290771484375,458.9601641619937,1086.1290617859845
365,395.36517333984375,1062.8885498046875,441.7795823474698,1079.8504931071598
366,373.8737182617187,1054.27197265625,423.43439134219267,1072.9402969168607
367,359.2527160644531,1047.8895263671875,406.0953130775827,1066.1726756406954
368,358.4359130859375,1040.5430908203125,393.21983011576447,1059.2486840937777
369,336.2436218261719,1034.56640625,377.82735351743844,1052.5806134111394
370,314.8444519042969,1023.1714477539062,360.81213140494776,1044.6355446228756
371,283.7893981933594,1014.933837890625,340.0039615725049,1036.6114440459683
372,245.77276611328125,1007.3724975585938,314.54681876710475,1028.7123610238216
373,233.41580200195312,997.4916381835938,292.6287706125367,1020.2778888094111
374,212.93756103515625,985.3809814453124,271.0996953136424,1010.8502725098906
375,180.16754150390625,977.2553100585938,246.53380910307456,1001.7743847160782
376,172.96701049804688,972.7617797851562,226.65928147241624,993.9364492714118
377,148.50173950195312,958.5687255859376,205.544536004477,984.3816390180211
378,120.01199340820312,947.0003051757812,182.43738830491776,974.2828394724924
379,58.010101318359375,938.8321533203124,148.82258379916343,964.7056163933689
380,25.961700439453125,923.5460815429688,115.63095296350038,953.586112375786
381,8.324249267578125,908.546142578125,86.64138038457725,941.4182847524368
382,4.291534423828125,903.1829223632812,64.39405795160799,931.088764089843
383,0.99957275390625,887.882080078125,47.267643977043974,919.4162100097022
384,0.7738037109375,884.3424682617188,34.70704421538741,909.9408208029027
385,0.721435546875,869.9740600585938,25.525620919350047,899.14355211944
386,1.491668701171875,851.2510986328125,19.032699431782973,886.2051083082539
387,1.405609130859375,841.5485229492188,14.270631489766084,874.1408543725344
